bio,date,device,followers,following,location,query_type,screen_name,tweet
b'#NeverBernie',Tue Feb 18 00:50:28 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2149.0,2455.0,Chicagoland ,Warren,b'1life2livetalk',"b'@jljacobson Maybe if you had, Warren would have a chance Someday.'"
"b'INTJ-T\xe2\x80\xa2Democrat\xe2\x80\xa2Asexual\xe2\x80\xa2POC/mixed\xe2\x80\xa2Astrophysics\xe2\x80\xa2tired student\xe2\x80\xa2\xf0\x9f\x92\xab\xe2\x9c\xa8\xf0\x9f\x8c\x9f\xf0\x9f\x97\xa3Speak: [\xf0\x9f\x87\xac\xf0\x9f\x87\xa7/\xf0\x9f\x87\xba\xf0\x9f\x87\xb8],\xf0\x9f\x87\xaf\xf0\x9f\x87\xb5,[\xf0\x9f\x87\xaa\xf0\x9f\x87\xb8/\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd],\xf0\x9f\x87\xa8\xf0\x9f\x87\xb3,\xf0\x9f\x87\xae\xf0\x9f\x87\xb9,\xf0\x9f\x87\xab\xf0\x9f\x87\xb7,\xf0\x9f\x87\xb2\xf0\x9f\x87\xa8 \xf0\x9f\x97\xa3Learning: \xf0\x9f\x87\xba\xf0\x9f\x87\xa6&\xf0\x9f\x87\xb3\xf0\x9f\x87\xb4'",Mon Feb 17 19:59:49 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",313.0,2019.0,"Chicago, IL & NW Indiana",Buttigieg,b'soft_spidey',"b""It's all about Pete for this northern Virginia supporter who finds Buttigieg a once in a lifetime candidate. Read it in The Blue View\nhttps://t.co/1ePLyk77QZ\n@PeteButtigieg \n@Springfield_Dem https://t.co/5ycFlFfPli"""
b'#Tulsi2020 #Bernie2020',Sun Feb 16 14:21:37 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",536.0,575.0,,Klobuchar,b'WyrdGuy',"b'Amy Klobuchar is embarrassing. She\'s on the ""Subcommittee on Border Security and Immigration,"" and could not name the president of Mexico or describe anything about him. But she gets puffed up by the media as supremely competent and such a hard worker\n\nhttps://t.co/Mimr9Gsutn'"
"b'Political Junkie, challenging the hoard,taken. Music lover. Bane of Neocons. Cool with resisting actual Trumps policies. #49rs #Bernie202 #Patriots #lofihiphop'",Tue Feb 18 00:50:29 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",223.0,198.0,"Massachusetts, USA",Sanders,b'MTatersalad',b'@SamSharf2 @Nancy_4_Nati @ETTC19 @fred_guttenberg @BernieSanders Ever notice how selective that outrage is? \n\n*I supported M4A but some mean person online called me out when I ignorantly blaming Sanders supporters for the actions of Warrens*. *I then doubled down on it.  &amp;\nNow demand to speak to Sanders.*\n\n-Signed Fred'
b'Love to help others. Passionate. Music fan. A little Prog and AOR. \xf0\x9f\x92\x9c Fangirl of #TonyBanks \xf0\x9f\x8e\xb9 #JoeBiden \xf0\x9f\x98\x8e #Liberal #Biden2020 \xf0\x9f\xa5\x81 Member of the #BidenFront',Tue Feb 18 00:50:29 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",664.0,376.0,"Hartford, Connecticut U.S.A. ",Biden,b'Daly81',b'@symonelyfy Keep convincing her Biden is the best choice and his excperience. Tell her the media lies which it does.'
b'President TRUMP 2020\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f#MAGA',Mon Feb 17 19:02:17 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",5451.0,4239.0,"Florida, USA",Bloomberg,b'TampaHolly',b'Wow these Bloomberg videos just keep getting worse don\xe2\x80\x99t they.\n\n https://t.co/07f11LPOz1'
b'\xe2\x80\x9cThe place in which I\xe2\x80\x99ll fit will not exist until I make it.\xe2\x80\x9d -James Baldwin | Politico',Tue Feb 18 00:50:38 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",516.0,268.0,The Ends ,Warren,b'mill0x0',b'@beardedcrank I think Warren wants it more. She needs to do well in NV &amp; crushing Bloomberg in the debate could give her a boost.'
b'',Tue Feb 18 00:21:19 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",85.0,344.0,Mid Atlantic USA,Sanders,b'flowerpowernan',"b'Bernie Sanders\xe2\x80\x99 goon squad is now trying to destroy Parkland father Fred Guttenberg, and it should be the last straw https://t.co/k5xKeldnJI via @PalmerReport'"
"b""\xf0\x9f\x8c\x8a\xf0\x9f\x8e\xa4\xf0\x9f\x93\xb7\xf0\x9f\x93\x9a \xf0\x9f\x8e\xa8Mom, singer, writer, photographer, Marketing Specialist, Political Science. I'm rebellious from the top down. @Lesdoggg""",Mon Feb 17 17:22:37 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2486.0,4992.0,"Redlands, CA",Warren,b'Comixgrrl',"b'Unlike others, Elizabeth Warren isnt just asking Black people to vote for her. She\xe2\x80\x99s listening and working to earn our support:\n\nI was invited to travel to South Carolina and spent Friday afternoon with @ewarren and then the weekend with her staff speaking to voters. 1/ https://t.co/w7NBYvHpmi'"
"b'Half Canadian-Half Texan, liberal redneck, space cowboy, former kid-future corpse, traveling tofu salesman. Here for the inevitable downward spiral. #RESIST'",Mon Feb 17 00:59:35 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2350.0,5000.0,The Lone Star State,Buttigieg,b'SeymourDLindsay',"b'I\xe2\x80\x99m with Pete on this one!\n\nPeteButtigieg: \xe2\x80\x9cI love my husband. I\'m faithful to my husband. On stage, we usually just go for a hug. But I love him very much. And I\'m not going to take lectures on family values from the likes of Rush Limbaugh."" https://t.co/U2rBFlgVie'"
"b'Proud Liberal Dem, Country Over Party, #IWillNotYield, #NeverTheLessWePersist, #VoteBlueNoMatterWho2020, #StrongerTogether NO LISTS/DMs, MAGA/Trolls=Block'",Tue Feb 18 01:04:58 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",4089.0,4939.0,"Houston, TX",Klobuchar,b'AnneRose713',"b'@AnneRose713 Hi, please find the unroll here: Thread by @Amy_Siskind: Houston Chronicle editorial board calls Klobuchar \xe2\x80\x9ca strong leader who can outwit anger, rise\xe2\x80\xa6 https://t.co/QnoEKF0u0u. See you soon. \xf0\x9f\xa4\x96'"
b'#TheResistance \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88',Tue Feb 18 00:42:13 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1892.0,4985.0,,Sanders,b'BeckyRae12345',b'Fight breaks out at a Bernie Sanders event in Colorado. https://t.co/yY9nSe2Rj8'
b'\xc7\xab\xe1\xb4\xa0\xe1\xb4\x84 \xe1\xb4\x8d\xe1\xb4\x80s\xe1\xb4\x9b\xe1\xb4\x87\xca\x80 \xe1\xb4\x84\xe1\xb4\x8f\xc9\xb4\xe1\xb4\x9b\xca\x80\xe1\xb4\x8f\xca\x9f s\xe1\xb4\x9c\xe1\xb4\x98\xe1\xb4\x87\xca\x80\xe1\xb4\xa0\xc9\xaas\xe1\xb4\x8f\xca\x80',Tue Feb 18 00:39:50 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",82.0,273.0,North Coventry Township,Biden,b'Jaspowell15',"b""God damn. When Trump screeches about Hunter Biden, here's what he's trying to distract you from.\nhttps://t.co/txhH82Ya8r"""
b'hello i like men \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88',Tue Feb 18 01:05:30 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",5.0,43.0,your moms house,Bloomberg,b'assmaster741',b'@vetthebern says the guy who liked a bloomberg ad bloomberg is literally worst than trump'
"b'#Author,#Film #Producer, & Co-Owner & VP of Shareef Entertainment LLC. https://t.co/JtxLGTGkty https://t.co/DHyphlxRAq'",Mon Feb 17 21:58:13 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",37975.0,41767.0,Whiting IN/LV/LA,Warren,b'JoePranaitis',b'Follow #HistoricalFiction Author \nWarren Bell at wbellautho\n#WW2\nhttps://t.co/FNUuBTwrjB\nhttps://t.co/7a2sHxJJIu'
b'queer marxist \xe2\x98\xad \xe0\xac\x98(\xe0\xa9\xad*\xcb\x8a\xe1\xb5\x95\xcb\x8b)\xe0\xa9\xad* \xe2\x81\xba\xcb\xb3\xe2\x9c\xa7 \xf0\x9f\x87\xaa\xf0\x9f\x87\xb8\xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88',Tue Feb 18 01:05:42 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",46.0,262.0,"Rancho Cucamonga, CA",Warren,b'tgxadamg',"b'@Super_Shazbot @artimidore @ElmerM727 @SteveKornacki well if you haven\xe2\x80\x99t personally met them then they must not exist! let\xe2\x80\x99s ignore the part about both Biden + Warren supporters having Bernie as 2nd choice despite you saying the opposite is true. Bernie doesn\xe2\x80\x99t need Klobuchar voters, Pete does.'"
b'I am a Snowflake of the Avalanche of #Resistance. I was born fine the first time. Staunchly against #Fascism of this regime.',Mon Feb 17 17:57:04 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2592.0,3525.0,USA,Sanders,b'damkina',"b'On Immigration, Bernie Sanders is Not Who He Says He Is.\n- by Dolores Huerta\n""here\xe2\x80\x99s the truth: Candidate Bernie Sanders, advocate for immigrants, is not the same as Senator Bernie Sanders.""\nhttps://t.co/1GqIaG7ONW\n\n#BernieSanders #VettingBernie #Bernie #bernie2020 #immigration'"
"b'MSM.\xf0\x9f\x98\xa0 \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 Proudly FB @RealJamesWoods, @DineshDSouza @GenFlynn, @RealDrGina, @cvpayne, @atensnut, @staceydash & @SidneyPowell1 @ScottBaio \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 NO TRAINS!'",Tue Feb 18 00:35:55 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",68262.0,60200.0,,Sanders,b'HLAurora63',b'2020 Democrat\xe2\x80\x99s message to the American voters:\n\nBloomberg calls farmers &amp; factory workers mindless\n\nBernie Sanders wants to ban fracking &amp; all fossil fuels\n\nButtigieg repeatedly calls Trump supporters racists\n\nAnd Dems want to know why @realDonaldTrump is the Man of the People?'
b'',Mon Feb 17 22:13:37 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",50.0,60.0,,Bloomberg,b'drogoscg24',b'Bloomberg and Trump have a lot in common.\n\n\xe2\x9c\x85 Racism\n\xe2\x9c\x85 Elitism\n\xe2\x9c\x85 Financial conflicts of interest\n\xe2\x9c\x85 Sexual misconduct allegations\n\xe2\x9c\x85 Mob-style payoffs\n\xe2\x9c\x85 Emoluments concerns\n\nNominating him guarantees a 2020 loss while also making Democrats look like pathetic hypocrites.'
"b'News, history, art, curious info of the world... Noticias, historia, arte e informaciones curiosas del mundo. Follow me on Instagram: @Mel_Storni  .'",Tue Feb 18 01:00:07 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",862.0,339.0, USA  ,Buttigieg,b'Mel_Storni',"b""Democrat Pete Buttigieg's surprisingly robust 2020 candidacy is running up against a key question about his viability: Can he win among minority voters who form the foundation of the party\xe2\x80\x99s base? https://t.co/r3sKcdj4oG"""
b'',Sun Feb 16 00:09:55 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",50.0,253.0,,Bloomberg,b'Carol56488068',"b'As long as this continues, GOP Senate and House offices should refrain from working w/ Bloomberg News. This is pure bias which benefits one side! It\xe2\x80\x99s wrong and goes against journalistic values. https://t.co/UuTrTjeREA'"
"b""I'm a wife, mother, Christian and a conservative... I support our Constitution and our rights! Proud supporter of our president Donald J Trump!\xf0\x9f\x87\xba\xf0\x9f\x87\xb8#MAGA""",Mon Feb 17 12:42:50 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2139.0,2205.0,"Kennebunkport, ME",Klobuchar,b'Mollybaron777',"b'Don\xe2\x80\x99t be fooled by Amy Klobuchar.\n\nShe supports taxpayer-funded abortions and even co-sponsored AOC\xe2\x80\x99s radical \xe2\x80\x9cGreen New Deal.\xe2\x80\x9d\n\nEvery 2020 Democrat is backing socialist policies, and Klobuchar is no different.'"
"b'Retired RN, Advocating For People Over Profits, Human Rights For All, Save The Planet, #Bernie2020'",Tue Feb 18 00:54:26 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7374.0,7876.0,"Missouri, USA",Sanders,b'kujo71',"b""There were soooo many volunteers for Bernie Sanders at the Tacoma Dome they couldn't utilize us all and sent us to the GA line!\n\nthis is our #movement #notMeUs #theTimeIsNow!\n\n#PresidentBernieSanders #PresidentsDay #Election2020 #solidarity #MedicareForAll #GreenNewDeal https://t.co/VDV39x3eAM"""
"b""I'm new to Twitter and it hurts//He/him//\nI make music with Psychic Vulture//Politics, music, and games. Bernie 2020\xf0\x9f\x96\xa4""",Tue Feb 18 01:16:25 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",41.0,280.0,"Murfreesboro, TN",Biden,b'LividNoise',"b""I'm so happy Michael Bloomberg entered this race\n\nHe single handily tanked Biden and Warren by pulling from their bases\n\nAnd finally an opponent we don't have to hold back against\n\nAll the other campaigns had no idea how much we truly held back\n\nThe Bloomers are fucked \xf0\x9f\x98\x82"""
"b""#OpenCarry #MAGA #KAG #Trump2020 Precious Metals & Coins. Angel Mom. Proud Christian. #Qanon #WWG1WGA Joined Twit '18 not '13.""",Tue Feb 18 01:11:07 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",11267.0,12171.0,Texas Panhandle,Bloomberg,b'7wellsclan7',"b'Dems: What voters want is becoming more and more irrelevant. The single most irreverent goal is to beat \nDonald Trump. \nIf that means drowning out the competition and overwhelming the system\xe2\x80\x94democracy, with Bloomberg\xe2\x80\x99s money, so be it.\n\n- .@TuckerCarlson'"
"b'Interested in politics, public policy, books, and coffee. She/Her'",Mon Feb 17 17:49:14 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",304.0,748.0,"New Jersey, USA",Warren,b'dreamerj25',"b""The Consumer Financial Protection Bureau was Elizabeth Warren's idea.\n\nShe proposed it BEFORE the financial collapse bc she knew PREDATORY lending was going hurt people.\n\nIt has returned *$12.4 BILLION* to working people cheated by financial companies.\nhttps://t.co/rgrlAurzs9"""
b'',Sun Feb 16 22:44:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",236.0,200.0,,Warren,b'flyhyland',"b'""This IS about accountability. You should resign. You should give back the money that you took while this scam was going on. And you should be criminally investigated.""\n\n\xe2\x80\x94Elizabeth Warren to former Wells Fargo CEO John Stumpf https://t.co/ldzqd3pesQ https://t.co/1cgGlRLZXe'"
b'Political News',Mon Feb 17 13:47:47 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1807.0,879.0,"Duluth, GA",Klobuchar,b'Yemayah777',"b'@GOPChairwoman Wow, those sound good to me!  Support Amy Klobuchar:\nhttps://t.co/sBjRfos6TW'"
"b'Progressive,Atheist, #ourrevolution #M4All\xf0\x9f\x8c\xb9,Bernie 2020,#BLM'",Mon Feb 17 18:20:25 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2668.0,3464.0,,Sanders,b'andyg_live',"b'.@MikeBloomberg came after supporters of Bernie Sanders, calling them ""BernieBros"" in a new negative ad. Not unusual for the former Republican mayor of NYC to just completely dismiss people of color and women. We can make ads too, you know... https://t.co/upr9UcooLr'"
b'Boxes in boxes',Mon Feb 17 21:57:44 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",22.0,344.0,,Bloomberg,b'Blueguy40415598',"b""Instagram influencers who post sponsored ads for Bloomberg\xe2\x80\x99s campaign won't be regulated like other political ads on Facebook &amp; Instagram \xe2\x80\x94  meaning they won\xe2\x80\x99t be added to Facebook's Ad Library and won't even be labeled as ads.  https://t.co/39TvOYNi6P"""
b'',Mon Feb 17 20:14:11 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",453.0,537.0,,Buttigieg,b'booksncheese',b'Sanders supporter John Graziano (TYT) tweets homophobic meme of Pete Buttigieg comparing him to Jeffrey Dahmer a serial killer that murdered 17 men and boys. John is also Chief Technical Officer to the @Sema4Texas campaign. https://t.co/dnFRfYe6Kw'
"b'Anti-War,  Fiscal Conservative Voter, Water skiing passion, Support term limits, Love authentic relationships, (NO: Discord, Chaos & Drama).'",Tue Feb 18 01:31:00 +0000 2020,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",464.0,442.0,"Hamilton County, Indiana",Buttigieg,b'purpleH2Oski',"b'Pete Buttigieg: ""God does not belong to a political party."" https://t.co/WSoOyJoURt'"
b'Let\xe2\x80\x99s keep America great! I support COV',Mon Feb 17 11:41:39 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",273.0,343.0,,Klobuchar,b'nellie_read',"b'ARE THE DEMOCRATS RUNNING FOR PRESIDENT OF MEXICO?\n\nWhile in Nevada, pandering Amy Klobuchar says ""English should not be US national language""\n\nNow that she is finally getting some attention, Amy Klobuchar is proving that she is just as NUTTY as the rest of the Democrats!!'"
"b'iOS Developer, progressive and all round nice Guy'",Mon Feb 17 02:56:22 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",63.0,141.0,"Sydney, New South Wales",Sanders,b'surajpoudelg',"b'\xe2\x80\x9cBernie Sanders leads all Democratic candidates in support from non-white voters, new poll shows\xe2\x80\x9d https://t.co/AIHMEgYPQd'"
"b'Trump supporter! Q believer! Trust the Plan! #MAGA, #Capitalism'",Tue Feb 18 00:46:13 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",99.0,409.0,,Biden,b'JanetEs83537171',"b""BREAKING: FBI Raids Firm Tied To Joe Biden\xe2\x80\x99s Brother...\n\nRT IF YOU THINK BIDEN'S FAMILY IS FULL OF CORRUPTION...\n\nhttps://t.co/1BdIvXki8c"""
b'\xf0\x9f\x87\xba\xf0\x9f\x87\xb8MAGA\xf0\x9f\x87\xba\xf0\x9f\x87\xb8Our President is trying to save The USA & we joined him. Followed By: @harveystaub1 @catturd2 @drnealhouston @Mudflapmc @imamofpeace @realericcarmen',Tue Feb 18 01:35:33 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2076.0,3141.0,,Bloomberg,b'my4Legger_Blaze',"b'@BloodyOy @angt_trost Joe the panderer; I don\xe2\x80\x99t have a problem with DACA staying, but Once again the geriatric set make a huge gaff with his words; this was bad; between him and Bloomberg, I\xe2\x80\x99m losing points on my IQ. \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82'"
"b'Social worker, running the crazy crew at Queercraft, Coloradan. he/him/his'",Tue Feb 18 01:35:33 +0000 2020,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>",314.0,602.0,"Denver, CO",Warren,b'Beaupedia',"b""@isatheqween Lmao, Bill Clinton didn't win any of the first 4 early states and only won one of the Super Tuesday states. President Bill Clinton will obviously never be a thing.\n\nIt's true Warren may not win, who knows, but your argument was incredibly weak. Hopefully you understand that now."""
"b'PRO-Life. Love God, Family, and Country. Navy MOM..Go Blue. NO DM..American proud. Stand for the flag. 2A. No BS. Hate #. love TRUMP 2020. Nurse. Follow Q&Q+.'",Mon Feb 17 01:21:06 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2946.0,4045.0,,Bloomberg,b'sharp_rowena',"b'""If you show up with cancer and you\xe2\x80\x99re 95 yrs old, we should say \'There\xe2\x80\x99s no cure, we can\xe2\x80\x99t do anything.\'""\n- Mike Bloomberg\n\nWhat if you\'re 86 yrs old, you\'ve been treated for colorectal cancer, cancerous lung growths and pancreatic cancer?\n\nAnd your name is Ruth Bader Ginsburg?'"
b'#inequality #firstnations \n#climatechange #climatejustice \n#wildlife #rewilding #resist',Mon Feb 17 22:57:50 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",6305.0,6446.0,"South Yaamba, QLD",Buttigieg,b'junglefruits',"b'Data for Progress - Nevada Caucus Poll\nSanders - 35\nWarren - 16\nButtigieg - 15\nBiden - 14\n\n766 likely caucus goers, text to web, 2/12/20 - 2/15/20\n\nhttps://t.co/5CRchqzOue'"
b'Professional Safety Consultant',Tue Feb 18 01:35:52 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",117.0,332.0,"Texas, USA",Klobuchar,b'CChaissonne',b'@amyklobuchar Early Voting begins tomorrow in Texas and the Houston Chronicle just endorsed Amy Klobuchar!'
"b""Want to take a trip and see the world over my shoulders? I'll walk you through a world of flowers, kpop & food.""",Mon Feb 17 23:25:57 +0000 2020,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",485.0,781.0,Los Angeles,Sanders,b'12bLAxx',"b'I swear there are Bernie Sanders supporters on here who won\'t know what to do if he wins the primary because for them the appeal is being angry if he doesn\'t. They\'re expecting to be smug and mad forever. Their dream is another term for Trump and a lifetime of ""I warned you!!!""'"
b'Blogger | Assistant Manager IT at LIC Housing Finance Ltd | Technology Lover | Java Professional | Modi Follower | Indian',Tue Feb 18 01:35:53 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",196.0,248.0,"Navi Mumbai, India",Warren,b'gaurav5410',b'\xe2\x80\x9cRisk comes from not knowing what you are doing.\xe2\x80\x9d \n-Warren Buffet'
b'',Mon Feb 17 14:14:10 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",7.0,72.0,,Bloomberg,b'KhayJames',b'Bloomberg says farmers lack intelligence: \xe2\x80\x9cI can teach anyone how to be a farmer 1 dig a hole 2 put a seed in 3 put dirt on top 4 add water 5 up comes the corn. The skill for information technology is completely different you need more grey matter\xe2\x80\x9d? What an arrogant elitist jerk. https://t.co/jy8I6KzJCk'
b'',Tue Feb 18 01:36:41 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",917.0,1301.0,"NYC, LA, Tunis ",Sanders,b'sayarita',b'Michael Bloomberg is everything they\xe2\x80\x99ve told me Bernie Sanders is since 2015 and they\xe2\x80\x99re going to tell me it\xe2\x80\x99s racist and sexist not to vote for him in 2020.'
b'I have no life. \n\nPronouns: they/them',Tue Feb 18 01:49:53 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",160.0,830.0,United States,Bloomberg,b'UberActivist',"b'I\'m really confused why Bloomberg is labeling anyone calling him a racist or an oligarch as ""bullying,"" and more importantly why so many neo-libs are buying into this?\n\nLike, he\'s literally playing the ""blue no matter who"" card in respond to people pointing out that he\'s terrible'"
"b'Senior Graphics Developer at 343i, formerly at Sucker Punch & NVIDIA. Math & coding blog writer, sometime musician, sci-fi & physics nerd, cat dad, coffeeholic.'",Mon Feb 17 21:27:08 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",4551.0,738.0,"Seattle, WA   he/him",Klobuchar,b'Reedbeta',"b'The single most important thing about who is President\xe2\x80\x94 the basis of ""vote blue no matter who""\xe2\x80\x94 is judges. Trump is packing courts with truly horrible judges; supposedly a Democrat would stop that.\n\nExcept Klobuchar keeps voting for Trump\'s horrible judges https://t.co/Am2VgkQbsM'"
b'Progressive. #Bernie2020.',Mon Feb 17 23:18:23 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",208.0,901.0,,Buttigieg,b'daveitcoker',b'#Nevada Democratic Primary Polling Among:\n\nUnder 45: \nSanders: 64%\nWarren: 14%\nButtigieg: 7%\n\nOver 45:\nSanders: 21%\nButtigieg: 18%\nWarren: 17%\nBiden: 17%\n\n#Democrats #USA https://t.co/bJkE65LNii'
"b'Bernie 2020 My version of ""Bernie of Bust"" is probably much different from yours. He/Him. LeftIsBest.'",Tue Feb 18 01:50:53 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",157.0,1484.0,New England,Biden,b'7ElevenMunchies',"b""@DavidLJarman If they both get about the same number of votes, then wouldn't we prefer to have Bernie's coalition if we want a better chance of flipping the senate since his voters are less likely to vote for republicans in downticket races compared to Biden's voters?"""
"b'\xc2\xa1Proletarios de todos los pa\xc3\xadses, un\xc3\xados!'",Tue Feb 18 00:38:05 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",29.0,413.0,Cercanías Linea C7,Bloomberg,b'cercaniasjefe',"b'If you are more upset about tweets calling out Bloomberg\xe2\x80\x99s racist policies than you are about the authoritarian terrorizing of black men, perhaps it\xe2\x80\x99s time to reassess your priorities.'"
b'#MyBodyMyChoice  #LGBT  #VetsResist   \n#VoteBlueNoMatterWho\n#Resistance #FamiliesBelongTogether \n            NO LISTS!!!!',Mon Feb 17 23:30:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3535.0,4988.0,"Florida, USA",Warren,b'rudybird100',"b""If you are pissed off about this the best ways to help are to volunteer for Warren or donate to her 100% grassroots campaign. This is a jumbled field and an unstable race. Long road to go and she's very much in the mix. https://t.co/rZpAHEOpng"""
